model,batch_size,mig_slices,frequency,avg_power_draw,dynamic_power_draw,throughput,latency
mobilenet_v3_large,2,1,210,46.94833449359029,3.157858458502562,175.73820997301806,11.533737182617188
mobilenet_v3_large,2,1,240,47.37734260522213,3.433903424093465,199.31883779997156,10.18977165222168
mobilenet_v3_large,2,1,330,48.66677505668935,4.296614274305931,267.7243240802246,7.544994354248047
mobilenet_v3_large,2,1,420,49.890984063745016,5.170908475000424,332.40016742513603,6.178617477416992
mobilenet_v3_large,2,1,510,51.12071077216396,5.876446465077343,393.23317169385297,5.24139404296875
mobilenet_v3_large,2,1,600,52.25781537616694,6.71120534864402,450.0665577283729,4.569530487060547
mobilenet_v3_large,2,1,690,53.3499449121963,7.589022503819473,503.0721956878569,4.192352294921875
mobilenet_v3_large,2,1,780,54.38249224544842,7.696722054972229,552.4793991014121,3.831863403320313
mobilenet_v3_large,2,1,870,55.42112257670585,8.303175624951457,596.573163161296,3.927946090698242
mobilenet_v3_large,2,1,960,56.93707881097561,9.175358933424604,646.846247590363,3.352880477905273
mobilenet_v3_large,2,1,1050,58.03049473362845,8.47173147382454,649.2947827198415,3.384590148925781
mobilenet_v3_large,2,1,1140,62.1853105295378,9.607150862871151,652.2872074614879,3.993511199951172
mobilenet_v3_large,2,1,1230,67.50372040534316,10.221817672009848,658.6928778953502,4.03141975402832
mobilenet_v3_large,2,1,1320,74.74156561499771,10.841097509734574,661.4179841575066,3.739595413208008
mobilenet_v3_large,2,1,1410,84.89725921834001,11.463722429349176,651.553879295522,3.8604736328125
mobilenet_v3_large,2,2,210,47.88714109711611,4.096665062028381,265.4204168096412,7.704019546508789
mobilenet_v3_large,2,2,240,48.46158054045893,4.518141359330265,300.09014304217,6.818056106567383
mobilenet_v3_large,2,2,330,50.065875394321765,5.6957146119383495,399.189977182293,5.211830139160156
mobilenet_v3_large,2,2,420,51.58919216601178,6.869116577267192,490.547327047087,4.197597503662109
mobilenet_v3_large,2,2,510,52.97241406849946,7.728149761412844,575.1042472291864,3.894805908203125
mobilenet_v3_large,2,2,600,54.23529078014184,8.68868075261892,644.5603436044445,3.867387771606445
mobilenet_v3_large,2,2,690,54.922395719985495,9.161473311608669,671.3577712178948,3.835439682006836
mobilenet_v3_large,2,2,780,54.93667648942986,8.250906298953668,640.6690409544693,3.75676155090332
mobilenet_v3_large,2,2,870,55.632124037945225,8.514177086190834,662.097566912549,3.90625
mobilenet_v3_large,2,2,960,56.770615634649765,9.008895757098756,683.3074453413213,3.762245178222656
mobilenet_v3_large,2,2,1050,57.43751958983777,7.878756330033859,656.3748092984214,3.56435775756836
mobilenet_v3_large,2,2,1140,61.54994524761612,8.971785580949465,661.7985032099082,3.835916519165039
mobilenet_v3_large,2,2,1230,66.53133715267832,9.249434419345008,649.8520318717699,3.854513168334961
mobilenet_v3_large,2,2,1320,73.81159250285063,9.911124397587493,659.1826594656835,3.791570663452149
mobilenet_v3_large,2,2,1410,84.4952349945996,11.061698205608764,676.0144408557576,3.7941932678222656
mobilenet_v3_large,2,3,210,48.49961189755339,4.709135862465668,321.70805545295707,6.38270378112793
mobilenet_v3_large,2,3,240,49.14661982684807,5.203180645719399,363.13860213554784,5.551815032958984
mobilenet_v3_large,2,3,330,50.88427454344895,6.514113761065538,480.29230206873575,4.374504089355469
mobilenet_v3_large,2,3,420,52.52667536855037,7.806599779805779,587.5713309311477,3.944158554077149
mobilenet_v3_large,2,3,510,53.5211911716975,8.276926864610886,640.3142973387966,3.7174224853515625
mobilenet_v3_large,2,3,600,54.06273753612717,8.516127508604255,656.1022515526608,3.745794296264648
mobilenet_v3_large,2,3,690,54.29013552915767,8.52921312078084,642.8670047793713,3.708362579345703
mobilenet_v3_large,2,3,780,55.08367305952597,8.397902869049775,677.7064160444171,3.7276744842529297
mobilenet_v3_large,2,3,870,55.620396243453136,8.502449291698746,686.0105998783491,3.825902938842773
mobilenet_v3_large,2,3,960,55.98046983830845,8.218749960757442,642.5183176829779,3.542423248291016
mobilenet_v3_large,2,3,1050,57.08332375979112,7.52456049998721,652.5362437171929,3.8251876831054688
mobilenet_v3_large,2,3,1140,61.13176240808824,8.553602741421585,659.0588933800805,3.820657730102539
mobilenet_v3_large,2,3,1230,66.45010807491556,9.16820534158225,670.8096019882418,3.749847412109375
mobilenet_v3_large,2,3,1320,73.31598664004915,9.41551853478601,657.4950121531158,3.5092830657958984
mobilenet_v3_large,2,3,1410,83.82406022988506,10.390523440894228,667.3756050581766,3.719568252563477
mobilenet_v3_large,2,4,210,49.02893778538813,5.238461750300405,360.7172123439552,5.737543106079102
mobilenet_v3_large,2,4,240,49.68636879134727,5.742929610218603,406.3269845549296,5.136728286743164
mobilenet_v3_large,2,4,330,51.61958772989663,7.249426947513214,533.8835473907673,4.201412200927734
mobilenet_v3_large,2,4,420,52.98088754705144,8.260811958306846,619.2982896247577,3.948211669921875
mobilenet_v3_large,2,4,510,53.98643471223021,8.742170405143597,670.2520608687144,3.1669139862060547
mobilenet_v3_large,2,4,600,54.18101831238779,8.634408284864874,658.5953677525515,3.785848617553711
mobilenet_v3_large,2,4,690,54.97531577047997,9.214393362103149,692.0723968780854,3.385782241821289
mobilenet_v3_large,2,4,780,55.16124524886878,8.475475058392592,675.4720075172621,3.75056266784668
mobilenet_v3_large,2,4,870,55.827545700378586,8.709598748624195,696.7534704745123,3.2584667205810547
mobilenet_v3_large,2,4,960,56.534259133527314,8.772539255976305,672.2349403982466,3.715276718139648
mobilenet_v3_large,2,4,1050,57.44152376528874,7.882760505484832,677.4758826213541,3.461122512817383
mobilenet_v3_large,2,4,1140,61.463982175783656,8.885822509117006,659.0310293755381,4.015922546386719
mobilenet_v3_large,2,4,1230,66.67649269567892,9.394589962345606,670.560058963441,3.8559436798095694
mobilenet_v3_large,2,4,1320,74.28188912645082,10.381421021187684,679.1440710567024,3.7424564361572266
mobilenet_v3_large,2,4,1410,84.94637394116742,11.512837152176589,681.7154882635232,3.801345825195313
mobilenet_v3_large,2,7,210,50.40684961060829,6.616373575520565,406.2287771985999,5.142450332641602
mobilenet_v3_large,2,7,240,51.16027819372953,7.216839012600865,454.7913297888512,4.636526107788086
mobilenet_v3_large,2,7,330,53.30541782178218,8.935257039398763,585.4568970228496,4.021406173706055
mobilenet_v3_large,2,7,420,54.43766601784266,9.717590429098069,641.333139851512,3.7386417388916016
mobilenet_v3_large,2,7,510,55.3936662473041,10.14940194021748,680.6252893036065,10.614395141601562
mobilenet_v3_large,2,7,600,55.32070551337075,9.774095485847829,648.3610137708298,4.576921463012695
mobilenet_v3_large,2,7,690,56.25206352348389,10.491141115107064,682.9030318102696,3.4894943237304688
mobilenet_v3_large,2,7,780,56.82323001984485,10.13745982936866,691.2833749815526,3.678798675537109
mobilenet_v3_large,2,7,870,57.140839167115416,10.022892215361026,683.620140962557,3.722667694091797
mobilenet_v3_large,2,7,960,58.407956268221575,10.646236390670566,698.2230919284327,3.748655319213867
mobilenet_v3_large,2,7,1050,58.79726744563453,9.23850418583062,666.857053222497,3.824949264526367
mobilenet_v3_large,2,7,1140,62.44625619962802,9.868096532961369,669.5430427365973,3.810405731201172
mobilenet_v3_large,2,7,1230,68.73861699142634,11.45671425809303,680.3037460958257,3.734111785888672
mobilenet_v3_large,2,7,1320,76.81180764975502,12.911339544491888,697.0842442948293,3.087282180786133
mobilenet_v3_large,2,7,1410,87.69629613208988,14.262759343099049,667.4737224644028,3.148794174194336
mobilenet_v3_large,4,1,210,47.53155799079426,3.741081955706537,215.405793206766,18.69368553161621
mobilenet_v3_large,4,1,240,48.053474357004575,4.110035175875908,244.6840464696873,16.472816467285156
mobilenet_v3_large,4,1,330,49.60099482583011,5.230834043446691,329.8990605539764,12.21466064453125
mobilenet_v3_large,4,1,420,51.092850900532135,6.372775311787542,411.24883221217954,9.89079475402832
mobilenet_v3_large,4,1,510,52.52849652126565,7.284232214179035,488.3936456132518,8.34798812866211
mobilenet_v3_large,4,1,600,53.84565918847805,8.299049160955134,560.9114098958156,7.305622100830078
mobilenet_v3_large,4,1,690,55.09299360920275,9.332071200825924,628.268120298431,6.53076171875
mobilenet_v3_large,4,1,780,56.316081193615545,9.630311003139356,691.0236780372792,5.947113037109375
mobilenet_v3_large,4,1,870,57.47308337285402,10.35513642109963,747.4170800887141,5.506277084350586
mobilenet_v3_large,4,1,960,59.45478949368291,11.6930696161319,816.2168211762926,5.053281784057617
mobilenet_v3_large,4,1,1050,61.32073966369931,11.761976403895396,878.6099970741569,4.713773727416992
mobilenet_v3_large,4,1,1140,65.97935737809412,13.401197711427471,938.7374546652144,4.423141479492188
mobilenet_v3_large,4,1,1230,73.37733198645844,16.095429253125133,999.3660180328412,4.04047966003418
mobilenet_v3_large,4,1,1320,82.50186618721999,18.60139808195685,1057.2684348600817,3.975152969360352
mobilenet_v3_large,4,1,1410,95.23852345649004,21.804986667499197,1112.5990743058794,3.92007827758789
mobilenet_v3_large,4,2,210,49.168426609016805,5.37795057392908,357.96575110062435,11.321783065795898
mobilenet_v3_large,4,2,240,49.885284874508,5.941845693379328,406.2570539247343,9.901285171508787
mobilenet_v3_large,4,2,330,52.01152753902221,7.641366756638796,545.1562711501936,7.510900497436523
mobilenet_v3_large,4,2,420,53.998589494669325,9.278513905924733,676.6582792557489,6.075859069824219
mobilenet_v3_large,4,2,510,55.826850283078215,10.5825859759916,800.1656550987462,5.062580108642578
mobilenet_v3_large,4,2,600,57.64521020670326,12.098600179180345,917.2580698542264,4.54401969909668
mobilenet_v3_large,4,2,690,59.40722523240372,13.646302824026892,1026.0253824966132,4.114389419555664
mobilenet_v3_large,4,2,780,61.0692923851671,14.383522194690912,1127.859075779151,4.238367080688477
mobilenet_v3_large,4,2,870,62.55402993552349,15.436082983769095,1214.900538277937,3.783702850341797
mobilenet_v3_large,4,2,960,64.9699976295828,17.208277752031798,1332.1237738497266,3.82852554321289
mobilenet_v3_large,4,2,1050,65.58108834846851,16.0223250886646,1301.905449156486,4.140615463256836
mobilenet_v3_large,4,2,1140,69.85823821949347,17.280078552826822,1319.6844463283353,3.892421722412109
mobilenet_v3_large,4,2,1230,76.75235115207374,19.470448418740432,1316.6343885336332,3.806829452514648
mobilenet_v3_large,4,2,1320,85.00313268757687,21.10266458231373,1312.0366800598729,4.235506057739258
mobilenet_v3_large,4,2,1410,97.89437634573976,24.460839556748937,1348.8110619123845,3.8299560546875
mobilenet_v3_large,4,3,210,49.99132394366197,6.200847908574242,458.536154404466,8.888721466064453
mobilenet_v3_large,4,3,240,50.82904322005938,6.885604038930715,519.3457058283541,7.878541946411133
mobilenet_v3_large,4,3,330,53.22780441163391,8.85764362925049,694.2107694703458,5.92350959777832
mobilenet_v3_large,4,3,420,55.429403468834685,10.709327880090092,857.3132525189346,4.804611206054688
mobilenet_v3_large,4,3,510,57.49689695519213,12.25263264810551,1010.3448994675356,4.190206527709961
mobilenet_v3_large,4,3,600,59.48233128362798,13.93572125610506,1154.2855579703407,3.813505172729492
mobilenet_v3_large,4,3,690,61.23161038322961,15.47068797485278,1280.444040706072,4.045963287353516
mobilenet_v3_large,4,3,780,61.8175518821604,15.131781691684203,1296.7362044516017,3.905057907104492
mobilenet_v3_large,4,3,870,62.468029059208135,15.350082107453744,1318.287474762058,3.927946090698242
mobilenet_v3_large,4,3,960,63.46452264581297,15.70280276826196,1318.0610439578422,3.80706787109375
mobilenet_v3_large,4,3,1050,64.15916471314004,14.600401453336133,1294.2640494094696,3.8747787475585938
mobilenet_v3_large,4,3,1140,68.72950769941484,16.15134803274819,1347.9366899714423,3.776073455810547
mobilenet_v3_large,4,3,1230,75.41495096833692,18.133048235003614,1335.2528137969753,3.859996795654297
mobilenet_v3_large,4,3,1320,83.05306681034483,19.152598705081694,1299.5262866686012,3.760814666748047
mobilenet_v3_large,4,3,1410,95.5609379809172,22.127401191926367,1314.7248521898846,3.9014816284179688
mobilenet_v3_large,4,4,210,50.867721079958464,7.077245044870739,538.0901674972271,7.632732391357422
mobilenet_v3_large,4,4,240,51.83303909858258,7.889599917453914,608.1428000230451,6.7386627197265625
mobilenet_v3_large,4,4,330,54.48386286610879,10.113702083725371,807.1827883748537,5.152702331542969
mobilenet_v3_large,4,4,420,56.96913497822932,12.249059389484728,992.6568860859712,4.089117050170898
mobilenet_v3_large,4,4,510,59.27638657125457,14.032122264167953,1164.726347711165,3.8917064666748047
mobilenet_v3_large,4,4,600,61.266632400430574,15.720022372907655,1319.5359070202337,3.8907527923583984
mobilenet_v3_large,4,4,690,61.78854550359713,16.0276230952203,1329.0162395066986,4.058122634887695
mobilenet_v3_large,4,4,780,62.41470269780916,15.728932507332972,1344.396588377749,3.827571868896485
mobilenet_v3_large,4,4,870,62.54270751486754,15.424760563113152,1327.1496985335648,3.3333301544189453
mobilenet_v3_large,4,4,960,63.06017243539546,15.298452557844447,1282.8880837893375,3.866910934448242
mobilenet_v3_large,4,4,1050,65.08598074191002,15.52721748210611,1374.314824063611,4.016876220703125
mobilenet_v3_large,4,4,1140,68.8692492695679,16.291089602901252,1344.5965588043944,3.808736801147461
mobilenet_v3_large,4,4,1230,75.35245276374215,18.07055003040884,1326.6664215590347,3.822088241577149
mobilenet_v3_large,4,4,1320,83.74865244956773,19.84818434430459,1321.8767742275909,5.299091339111328
mobilenet_v3_large,4,4,1410,95.65844048124558,22.224903692254745,1308.2889640216745,3.867626190185547
mobilenet_v3_large,4,7,210,53.23018356689007,9.439707531802345,671.3915691904524,6.14476203918457
mobilenet_v3_large,4,7,240,54.44743633048652,10.50399714935785,754.2135282995832,5.518436431884766
mobilenet_v3_large,4,7,330,57.5691627558662,13.199001973482789,983.2248798837372,4.315376281738281
mobilenet_v3_large,4,7,420,60.420710319296624,15.700634730552032,1186.4729679189322,3.916501998901367
mobilenet_v3_large,4,7,510,62.02981417040359,16.785549863316973,1291.2811742602955,3.525257110595703
mobilenet_v3_large,4,7,600,62.65567763636364,17.109067608840725,1316.307215087365,3.775358200073242
mobilenet_v3_large,4,7,690,63.770029214298674,18.009106805921846,1373.458421854783,3.7534236907958975
mobilenet_v3_large,4,7,780,63.72368870323284,17.037918512756647,1337.7967874966466,3.904819488525391
mobilenet_v3_large,4,7,870,63.729496300306806,16.611549348552415,1304.5005236809768,4.389524459838867
mobilenet_v3_large,4,7,960,66.10226391641145,18.34054403886044,1406.2485397168232,3.773212432861328
mobilenet_v3_large,4,7,1050,66.98641136158702,17.427648101783106,1407.557899650468,3.1692981719970703
mobilenet_v3_large,4,7,1140,70.084332660351,17.506172993684345,1328.6710359822443,3.806591033935547
mobilenet_v3_large,4,7,1230,77.29411550245098,20.012212769117667,1323.9881507229793,4.120588302612305
mobilenet_v3_large,4,7,1320,86.78120904041963,22.88074093515649,1355.2487025248051,3.7431716918945312
mobilenet_v3_large,4,7,1410,99.9859225578899,26.552385768899057,1370.5516462664568,3.841876983642578
mobilenet_v3_large,8,1,210,48.30834724443108,4.51787120934335,250.81996090761032,32.024383544921875
mobilenet_v3_large,8,1,240,48.94395329004406,5.0005141089153895,285.24289546721286,28.19395065307617
mobilenet_v3_large,8,1,330,50.77563200602112,6.405471223637704,385.601195490355,20.888805389404297
mobilenet_v3_large,8,1,420,52.46953187239118,7.7494562836465875,480.87687228747774,16.765832901000977
mobilenet_v3_large,8,1,510,54.12053149275666,8.876267185670045,569.5988411011127,14.201879501342772
mobilenet_v3_large,8,1,600,55.66570360264168,10.11909357511876,650.7943137240483,12.465953826904297
mobilenet_v3_large,8,1,690,57.12991555654895,11.368993148172123,723.9352142117842,11.191129684448242
mobilenet_v3_large,8,1,780,58.47064564432738,11.784875453851194,790.7262135271832,10.214567184448242
mobilenet_v3_large,8,1,870,59.66435109768596,12.546404145931568,850.1501693891129,9.556770324707031
mobilenet_v3_large,8,1,960,61.66092384141731,13.8992039638663,918.816989477964,8.851766586303711
mobilenet_v3_large,8,1,1050,63.53600560022179,13.97724234041788,980.0837921129772,8.333206176757812
mobilenet_v3_large,8,1,1140,68.40690667053364,15.828747003866994,1037.3782442273716,7.834434509277344
mobilenet_v3_large,8,1,1230,76.10432181608778,18.822419082754465,1093.0451375410073,7.486104965209961
mobilenet_v3_large,8,1,1320,85.66184876283998,21.761380657576844,1144.0289023380733,7.136821746826172
mobilenet_v3_large,8,1,1410,98.75441789405686,25.32088110506602,1191.7858455963428,6.883859634399414
mobilenet_v3_large,8,2,210,50.44189464652432,6.6514186114365925,443.2644634076293,18.15438270568848
mobilenet_v3_large,8,2,240,51.34858864191268,7.40514946078401,503.47416672446417,16.04175567626953
mobilenet_v3_large,8,2,330,53.92842325402916,9.558262471645747,678.8269351139274,11.951923370361328
mobilenet_v3_large,8,2,420,56.37607147487845,11.655995886133852,845.5120948766555,9.613752365112305
mobilenet_v3_large,8,2,510,58.74854462272054,13.50428031563392,1003.519723701326,8.128643035888672
mobilenet_v3_large,8,2,600,60.93526129462303,15.388651267100109,1151.7433078200395,7.107257843017578
mobilenet_v3_large,8,2,690,63.06187313915858,17.30095073078175,1289.004600218559,6.362676620483398
mobilenet_v3_large,8,2,780,65.07541345211581,18.38964326163962,1418.0536645006537,5.797624588012695
mobilenet_v3_large,8,2,870,66.82282870592756,19.70488175417317,1528.3319020455986,5.402088165283203
mobilenet_v3_large,8,2,960,69.56186839511041,21.8001485175594,1669.1753927784052,4.85682487487793
mobilenet_v3_large,8,2,1050,72.41805817116551,22.8592949113616,1796.950376052706,4.634857177734375
mobilenet_v3_large,8,2,1140,78.54696462777537,25.96880496110872,1921.3387563090532,4.332542419433594
mobilenet_v3_large,8,2,1230,88.3968193616275,31.114916628294186,2043.948754842864,4.090309143066406
mobilenet_v3_large,8,2,1320,100.06114660936008,36.16067850409694,2161.84608867472,3.903865814208984
mobilenet_v3_large,8,2,1410,116.81614426011944,43.38260747112861,2277.5144085429297,3.8971900939941406
mobilenet_v3_large,8,3,210,52.103238777908345,8.31276274282062,609.1814864319462,13.2904052734375
mobilenet_v3_large,8,3,240,53.19500222281498,9.25156304168631,691.6585393694825,11.71588897705078
mobilenet_v3_large,8,3,330,56.28698861709857,11.916827834715155,931.8427653133624,8.73708724975586
mobilenet_v3_large,8,3,420,59.41365476982192,14.693579181077324,1160.459740396214,7.051944732666016
