model,batch_size,mig_slices,frequency,avg_power_draw,dynamic_power_draw,throughput,latency
resnet50,2,2,210,51.99938368364803,8.208907648560302,92.7076095450884,21.71468734741211
resnet50,2,2,240,52.908044396897566,8.964605215768898,105.44000180396426,19.05989646911621
resnet50,2,2,330,55.663360298127614,11.2931995157442,142.6605978856997,14.09149169921875
resnet50,2,2,420,58.14536512633735,13.42528953759276,178.49770986301203,11.360883712768556
resnet50,2,2,510,60.53469861071732,15.290434303630704,212.83559462479636,9.447813034057615
resnet50,2,2,600,62.818752040175774,17.272142012652857,245.72386191475127,8.298397064208984
resnet50,2,2,690,64.85107637231503,19.090153963938207,277.3164326706123,7.355213165283203
resnet50,2,2,780,67.08906395816572,20.403293767689533,307.15320337974384,6.654500961303711
resnet50,2,2,870,69.10198693636747,21.98403998461308,332.74227071889453,6.145238876342773
resnet50,2,2,960,72.07673544973545,24.315015572184443,365.1501938065692,12.80975341796875
resnet50,2,2,1050,74.77264136973623,25.213878109932324,393.8820252713022,5.312442779541016
resnet50,2,2,1140,81.07911169956668,28.50095203290003,422.809594698106,4.924774169921875
resnet50,2,2,1230,91.13241063122923,33.85050789789594,452.5187338577173,4.552125930786133
resnet50,2,2,1320,104.37385571142283,40.47338760615971,483.8712826667855,6.413936614990234
resnet50,2,2,1410,122.41122828947368,48.97769150048285,514.2483850250726,4.0531158447265625
resnet50,2,3,210,53.23393891716798,9.443462882080258,120.5339710461257,16.73126220703125
resnet50,2,3,240,54.30939495798319,10.36595577685452,137.02658331312782,14.733552932739258
resnet50,2,3,330,57.56569001419783,13.195529231814412,185.2376635865887,10.926246643066406
resnet50,2,3,420,60.668193928676686,15.948118339932094,231.5001960627011,8.775949478149414
resnet50,2,3,510,63.49617092651757,18.251906619430954,275.9976253356208,7.332086563110352
resnet50,2,3,600,66.20884536923705,20.662235341714137,319.0583394951161,6.414890289306641
resnet50,2,3,690,68.69211690077027,22.931194492393445,360.3696906808292,5.6934356689453125
resnet50,2,3,780,71.27211977856065,24.58634958808446,400.363321994386,5.214214324951172
resnet50,2,3,870,73.6588462566845,26.540899304930107,436.7064413123504,4.827737808227539
resnet50,2,3,960,77.11287184730743,29.351151969756422,480.7673058599241,4.400491714477539
resnet50,2,3,1050,80.3233326585695,30.764569398765587,521.0264800682763,3.951549530029297
resnet50,2,3,1140,87.6720931339225,35.09393346725585,559.3577001262531,3.921985626220703
resnet50,2,3,1230,99.41545355932205,42.13355082598872,600.7414013794818,3.7686824798583984
resnet50,2,3,1320,114.18970184135976,50.28923373609663,641.210022682651,3.749370574951172
resnet50,2,3,1410,132.71321570014143,59.2796789111506,645.7089465427074,3.556489944458008
resnet50,2,4,210,55.360286653771766,11.56981061868404,151.9648018289961,13.31472396850586
resnet50,2,4,240,56.60079326494202,12.657354083813352,172.5884450771863,11.65628433227539
resnet50,2,4,330,60.48565285126397,16.11549206888055,232.1467866113649,8.746147155761719
resnet50,2,4,420,64.1368962787015,19.416820689956907,289.01772122495424,7.080078125
resnet50,2,4,510,67.58638045375218,22.342116146665568,343.33846714291946,5.991458892822266
resnet50,2,4,600,70.87446889325474,25.327858865731827,395.26697393525046,5.264997482299805
resnet50,2,4,690,74.05078694817658,28.28986453979975,444.6418366935336,4.653692245483398
resnet50,2,4,780,77.07291655801826,30.387146367542076,491.1690755242288,4.371881484985352
resnet50,2,4,870,79.8390202565834,32.721073304829005,530.8351885062389,4.219532012939453
resnet50,2,4,960,84.0450482809071,36.28332840335609,584.5370258604568,3.9091110229492183
resnet50,2,4,1050,86.93086282871359,37.37209956890968,616.8802282541443,3.8971900939941406
resnet50,2,4,1140,91.08257029560204,38.504410628935375,635.6386889348879,3.721475601196289
resnet50,2,4,1230,102.51233015407188,45.23042742073858,661.2124534138334,3.624439239501953
resnet50,2,4,1320,113.18864161849712,49.28817351323398,660.6179511727836,3.664493560791016
resnet50,2,4,1410,131.98257789317506,58.54904110418423,671.4475018318291,3.587961196899414
resnet50,2,7,210,58.14625209050664,14.355776055418918,193.43215605799816,10.480165481567385
resnet50,2,7,240,59.90106316090312,15.957623979774446,218.76580382312736,9.27734375
resnet50,2,7,330,64.44488906752412,20.0747282851407,291.0726283826164,7.031679153442383
resnet50,2,7,420,68.72291809180919,24.0028425030646,358.13572571549724,5.814790725708008
resnet50,2,7,510,72.98505698778833,27.74079268070171,421.2295133745741,5.005836486816406
resnet50,2,7,600,76.72426826029218,31.17765823276926,479.8965768542885,4.415750503540039
resnet50,2,7,690,80.38169436997319,34.62077196159636,533.408086444508,4.075765609741211
resnet50,2,7,780,83.5117551319648,36.82598494148861,583.4501557510519,3.659486770629883
resnet50,2,7,870,85.79468638132296,38.67673942956857,618.9118690362899,3.739356994628906
resnet50,2,7,960,89.30477842323651,41.543058545685504,660.6499349980734,3.521203994750977
resnet50,2,7,1050,89.56357666666666,40.00481340686275,668.7427172974293,3.736495971679688
resnet50,2,7,1140,94.95363693270735,42.375477266040704,662.6025303689574,3.520727157592773
resnet50,2,7,1230,104.20682469512197,46.92492196178864,667.1991491839005,3.536462783813477
resnet50,2,7,1320,120.5373373301359,56.63686922487276,709.627787104761,3.1011104583740234
resnet50,2,7,1410,137.63505209953345,64.20151531054259,695.1121467616123,3.941774368286133
resnet50,4,2,210,53.52226983745696,9.731793802369236,123.52325595011804,32.51457214355469
resnet50,4,2,240,54.46971251117069,10.526273330042017,140.5479741823724,28.608322143554688
resnet50,4,2,330,57.61978774379966,13.249626961416247,190.57234979665023,21.075010299682617
resnet50,4,2,420,60.56820709876543,15.848131510020837,238.56276409249045,16.8759822845459
resnet50,4,2,510,63.57085046558335,18.32658615849673,283.67039196320064,14.21046257019043
resnet50,4,2,600,66.15603945909997,20.609429431577052,325.6750360258933,12.395143508911133
resnet50,4,2,690,68.75306686930091,22.99214446092408,365.3236618566827,11.10386848449707
resnet50,4,2,780,70.81097091531224,24.12520072483605,402.1230105464672,10.095596313476562
resnet50,4,2,870,72.98075077969946,25.862803827945072,433.0505740327394,9.279251098632812
resnet50,4,2,960,76.08566743782534,28.323947560274327,469.1746446291468,8.679628372192383
