model,batch_size,time_sec
resnet50,1,0.006
resnet50,2,0.006
resnet50,4,0.004
resnet50,8,0.004
resnet50,16,0.004
resnet50,32,0.004
vgg19,1,0.004
vgg19,2,0.004
vgg19,4,0.004
vgg19,8,0.005
vgg19,16,0.004
vgg19,32,0.004
mobilenet_v3_large,1,0.004
mobilenet_v3_large,2,0.004
mobilenet_v3_large,4,0.004
mobilenet_v3_large,8,0.004
mobilenet_v3_large,16,0.004
mobilenet_v3_large,32,0.004
gpt,1,0.004
gpt,2,0.004
gpt,4,0.004
gpt,8,0.005
whisper,1,0.006
whisper,2,0.004
whisper,4,0.004
whisper,8,0.004
whisper,16,0.007
whisper,32,0.004
diffusion_256_256,1,0.004
diffusion_256_256,2,0.004
diffusion_256_256,4,0.004
diffusion_256_256,8,0.004
diffusion_1024_1024,1,0.004
diffusion_1024_1024,2,0.004
diffusion_1024_1024,4,0.004
diffusion_1024_1024,8,0.004
resnet50,1,86.233
resnet50,2,94.360
resnet50,4,105.534
resnet50,8,107.592
resnet50,16,99.434
resnet50,32,99.430
vgg19,1,45.620
vgg19,2,45.624
vgg19,4,42.560
vgg19,8,46.638
vgg19,16,39.541
vgg19,32,44.617
mobilenet_v3_large,1,100.449
mobilenet_v3_large,2,94.365
mobilenet_v3_large,4,95.378
mobilenet_v3_large,8,106.549
mobilenet_v3_large,16,97.419
mobilenet_v3_large,32,98.430
whisper,1,10.060
whisper,2,10.057
whisper,4,10.061
whisper,8,10.060
whisper,16,10.059
whisper,32,10.059
diffusion_256_256,1,10.059
diffusion_256_256,2,10.066
diffusion_256_256,4,10.061
diffusion_256_256,8,10.062
diffusion_1024_1024,1,10.060
diffusion_1024_1024,2,10.059
diffusion_1024_1024,4,10.061
diffusion_1024_1024,8,10.060
whisper,1,103.067
whisper,1,8660.924
whisper,2,9166.417
whisper,4,9566.371
whisper,8,11521.857
whisper,16,11418.268
whisper,32,11847.889
gpt,1,176219.075
diffusion_256_256,1,114456.761
gpt,2,73123.347
