Model,RPS,SLO,GPU_Alloc,BS,NUM_REQS
resnet50,1391.97,47.57630825042726,4,16,250380
mobilenet_v3_large,981.59,25.970196723937992,1,4,176686
vgg11,744.65,12.486314773559576,3,2,134037
resnet152,278.36,128.05020809173587,4,2,50104
densenet169,254.07,93.69852542877194,3,4,45732
densenet161,234.19,97.31435775756836,3,4,42154
efficientnet_b5,207.52,227.14972496032715,2,2,37353
inception_v3,189.25,40.23642539978028,1,2,34065
vgg19,169.54,17.524337768554688,2,2,30517
diffusion_1024_1024,0.0923146137935218,25358.9243824928,4,-1,29
diffusion_256_256,0.41497842657583255,8284.928342849231,3,-1,83
whisper,3.29843852958,5509.2905923409234,3,-1,708
gpt,0.16192860916956147,18385.29834294,4,-1,40
